,type,id,brand,name,rating,volume,price,tag_good,tag_bad,ingredient_count,caution,allergy,efficacy,oily_skin,dry_skin,sensitive_skin
0,스킨/토너,1950255,에스네이처,아쿠아 오아시스 토너,4.73,300ml,"25,000","수분있는(5,702), 자극없는(3,467), 보습되는(2,343), 흡수되는(2,080), 가벼운(1,164), 끈적하지않은(897), 잘발리는(777)","흘러내리는(442), 눈통증있는(246), 따가운(198), 미끌거리는(86), 가려운(73), 겉도는(57), 답답한(37)",25,0,0,"피부 보습(23), 피부 보호(2)","Good(1), Bad(0)","Good(4), Bad(0)","Good(1), Bad(0)"
1,스킨/토너,2055040,더랩바이블랑두,올리고 히알루론산 딥 토너,4.76,200ml,"23,000","보습되는(1,143), 수분있는(1,127), 흡수되는(694), 자극없는(593), 속건조해결되는(568), 가벼운(361), 끈적하지않은(289)","흘러내리는(153), 눈통증있는(19), 유수분밸런스좋지않은(15), 쿨링안되는(7), 마르는(5), 인공향나는(5), 알콜냄새나는(3)",15,0,0,"피부 보습(13), 피부 보호(2), 피부 미백(1)","Good(1), Bad(0)","Good(5), Bad(0)","Good(1), Bad(0)"
2,스킨/토너,2017136,이즈앤트리,초저분자 히아루론산 토너,4.70,300ml,"21,000","수분있는(2,610), 흡수되는(1,644), 보습되는(1,607), 자극없는(1,169), 가벼운(781), 속건조해결되는(619), 끈적하지않은(584)","흘러내리는(228), 따가운(146), 인공향나는(84), 눈통증있는(72), 마르는(24), 유수분밸런스좋지않은(17), 쿨링안되는(10)",34,0,0,"피부 보습(27), 피부 보호(4)","Good(2), Bad(0)","Good(4), Bad(0)","Good(1), Bad(0)"
3,스킨/토너,1890897,토리든,다이브인 저분자 히알루론산 토너,4.69,300ml,"21,000","수분있는(7,257), 자극없는(6,349), 흡수되는(3,213), 보습되는(2,901), 가벼운(2,436), 산뜻한(1,452), 끈적하지않은(1,405)","흘러내리는(1,050), 눈통증있는(175), 인공향나는(102), 미끌거리는(95), 마르는(90), 가려운(88), 지속안되는(85)",20,0,0,"피부 보습(17), 피부 보호(2)","Good(1), Bad(0)","Good(4), Bad(0)","Good(1), Bad(0)"
4,스킨/토너,1779219,라운드랩,1025 독도 토너,4.43,200ml,"15,000","자극없는(29,255), 수분있는(16,518), 흡수되는(8,053), 보습되는(7,941), 가벼운(6,649), 각질제거되는(3,995), 향에만족한(3,824)","흘러내리는(2,501), 가려운(379), 마르는(265), 미끌거리는(204), 지속안되는(171), 겉도는(152), 인공향나는(99)",16,0,0,"피부 보습(13), 피부 보호(2), 수렴 진정(1)","Good(1), Bad(0)","Good(3), Bad(0)","Good(1), Bad(0)"
5,스킨/토너,1894001,토니모리,원더 세라마이드 모찌 토너,4.43,500ml,"15,000","수분있는(3,909), 보습되는(2,881), 쫀득한(1,429), 자극없는(1,381), 흡수되는(1,144), 향에만족한(1,103), 속건조해결되는(661)","유분있는(551), 겉도는(121), 따가운(117), 가려운(76), 답답한(76), 인공향나는(74), 미끌거리는(66)",27,0,2,"피부 보습(13), 피부 미백(5), 피부 보호(2), 주름 개선(1)","Good(1), Bad(0)","Good(3), Bad(0)","Good(1), Bad(1)"
6,스킨/토너,2044266,브링그린,티트리시카수딩토너,4.55,500ml,"27,000","진정되는(328), 수분있는(233), 향에만족한(219), 흡수되는(186), 가벼운(171), 자극없는(163), 산뜻한(149)","따가운(95), 흘러내리는(73), 속건조해결안되는(22), 눈통증있는(16), 가려운(11), 인공향나는(2), 유수분밸런스좋지않은(2)",17,0,0,피부 보습(9),"Good(1), Bad(0)","Good(2), Bad(0)","Good(0), Bad(2)"
7,스킨/토너,1920408,아누아,어성초 77% 수딩 토너,4.36,250ml,"25,000","진정되는(1,727), 자극없는(1,665), 수분있는(1,545), 흡수되는(979), 보습되는(737), 가벼운(677), 끈적하지않은(418)","따가운(201), 흘러내리는(159), 눈통증있는(79), 가려운(49), 미끌거리는(22), 마르는(21), 겉도는(17)",28,0,0,"피부 보습(21), 피부 보호(2), 주름 개선(2), 피부 미백(1), 수렴 진정(1)","Good(0), Bad(0)","Good(5), Bad(0)","Good(1), Bad(0)"
8,스킨/토너,1902943,비플레인,녹두 밸런싱 토너,4.65,200ml,"20,000","자극없는(3,222), 수분있는(1,885), 흡수되는(994), 가벼운(790), 보습되는(678), 산뜻한(518), 잘발리는(459)","흘러내리는(172), 인공향나는(53), 미끌거리는(48), 마르는(24), 지속안되는(20), 겉도는(15), 알콜냄새나는(13)",22,0,0,"피부 보습(18), 피부 보호(2)","Good(1), Bad(0)","Good(4), Bad(0)","Good(1), Bad(0)"
9,스킨/토너,1872355,마녀공장,비피다 바이옴 앰플 토너,4.57,400ml,"25,000","수분있는(2,418), 자극없는(1,700), 보습되는(1,474), 흡수되는(1,315), 가벼운(649), 끈적하지않은(602), 피부결좋아지는(549)","흘러내리는(186), 가려운(38), 마르는(31), 인공향나는(10), 유수분밸런스좋지않은(10), 알콜냄새나는(5), 뻑뻑한(3)",41,0,0,"피부 보습(32), 피부 보호(4), 피부 미백(3), 수렴 진정(1)","Good(2), Bad(0)","Good(5), Bad(0)","Good(1), Bad(0)"
10,스킨/토너,2004646,프리메이,어성초 진정해 수분 토너,4.71,350ml,"28,000","수분있는(699), 자극없는(637), 진정되는(589), 보습되는(390), 향에만족한(369), 흡수되는(324), 가벼운(215)","흘러내리는(54), 유분있는(39), 인공향나는(21), 눈통증있는(12), 유수분밸런스좋지않은(9), 답답한(8), 알콜냄새나는(7)",35,0,0,"피부 보습(26), 피부 보호(6), 피부 미백(3), 주름 개선(1)","Good(2), Bad(0)","Good(3), Bad(0)","Good(1), Bad(1)"
11,스킨/토너,2050815,백아율,모이스처 밸런싱 토너,4.78,300ml,"25,000","수분있는(576), 자극없는(351), 보습되는(346), 흡수되는(230), 끈적하지않은(146), 가벼운(140), 향에만족한(117)","밀림있는(10), 눈통증있는(8), 마르는(7), 유수분밸런스좋지않은(4), 때처럼나오는(3), 향지속되지않는(1), 뻣뻣한(1)",23,0,0,피부 보습(16),"Good(0), Bad(0)","Good(1), Bad(0)","Good(0), Bad(1)"
